quote_id,count,,,,,
q.4_78_36_36-6,11,,,,,
q.4_83_29_36-12,11,,,,,
q.4_84_1_5-3,11,,,,,
q.4_85_8_9-1,11,,,,,
q.4_8_60_60-1,11,,,,,
q.4_8_61_61-2,11,,,,,
q.4_8_67_69-31,11,,,,,
q.4_88_6_6-1,11,,,,,
q.4_9_36_36-33,11,,,,,
q.4_9_36_36-34,11,,,,,
q.4_9_53_53-7,11,,,,,
q.4_9_5_5-1,11,,,,,
q.4_9_60_60-16,11,,,,,
q.4_9_60_60-38,11,,,,,
q.4_9_74_74-7,11,,,,,
q.4_9_97_98-14,11,,,,,
q.4_100_10_10-1,10,,,,,
q.4_10_1_1-27,10,,,,,
q.4_10_2_2-31,10,,,,,
q.4_103_1_1-7,10,,,,,
q.4_105_1_1-2,10,,,,,
q.4_106_1_1-28,10,,,,,
q.4_10_71_72-18,10,,,,,
q.4_108_2_2-16,10,,,,,
q.4_10_88_89-14,10,,,,,
q.4_110_1_1-17,10,,,,,
q.4_110_3_3-47,10,,,,,
q.4_11_20_22-31,10,,,,,
q.4_112_2_2-3,10,,,,,
q.4_12_73_75-7,10,,,,,
q.4_12_99_100-29,10,,,,,
q.4_13_12_13-3,10,,,,,
q.4_15_1_3-20,10,,,,,
q.4_15_1_3-4,10,,,,,
q.4_15_1_3-5,10,,,,,
q.4_16_43_47-22,10,,,,,
q.4_16_71_71-2,10,,,,,
q.4_17_100_100-3,10,,,,,
q.4_17_64_65-9,10,,,,,
q.4_1_7_7-14,10,,,,,
q.4_1_7_7-190,10,,,,,
q.4_1_7_7-21,10,,,,,
q.4_18_30_31-4,10,,,,,
q.4_18_32_44-6,10,,,,,
q.4_18_77_78-10,10,,,,,
q.4_18_77_78-12,10,,,,,
q.4_19_59_60-2,10,,,,,
q.4_20_15_16-19,10,,,,,
q.4_20_15_16-22,10,,,,,
q.4_20_1_8-3,10,,,,,
q.4_20_1_8-33,10,,,,,
q.4_20_63_64-10,10,,,,,
q.4_20_63_64-14,10,,,,,
q.4_20_63_64-20,10,,,,,
q.4_20_63_64-22,10,,,,,
q.4_20_63_64-23,10,,,,,
q.4_20_63_64-26,10,,,,,
q.4_20_63_64-28,10,,,,,
q.4_20_77_79-9,10,,,,,
q.4_2_102_102-10,10,,,,,
q.4_2_108_108-2,10,,,,,
q.4_2_111_112-12,10,,,,,
q.4_2_115_115-34,10,,,,,
q.4_2_13_13-10,10,,,,,
q.4_21_37_41-6,10,,,,,
q.4_2_143_143-12,10,,,,,
q.4_2_144_144-22,10,,,,,
q.4_2_144_144-24,10,,,,,
q.4_2_158_158-16,10,,,,,
q.4_2_158_158-8,10,,,,,
q.4_2_166_167-20,10,,,,,
q.4_2_17_17-13,10,,,,,
q.4_2_177_177-70,10,,,,,
q.4_2_183_183-2,10,,,,,
q.4_2_183_183-4,10,,,,,
q.4_2_183_183-6,10,,,,,
q.4_2_19_20-9,10,,,,,
q.4_2_197_197-66,10,,,,,
q.4_2_21_22-100,10,,,,,
q.4_2_21_22-193,10,,,,,
q.4_2_21_22-99,10,,,,,
q.4_2_214_214-16,10,,,,,
q.4_22_17_18-6,10,,,,,
q.4_2_221_221-12,10,,,,,
q.4_2_224_224-5,10,,,,,
q.4_2_228_228-9,10,,,,,
q.4_2_235_235-17,10,,,,,
q.4_2_246_246-1,10,,,,,
q.4_2_25_25-77,10,,,,,
q.4_2_26_27-17,10,,,,,
q.4_2_263_265-41,10,,,,,
q.4_2_267_267-13,10,,,,,
q.4_2_273_273-25,10,,,,,
q.4_2_278_281-32,10,,,,,
q.4_2_283_283-3,10,,,,,
q.4_2_283_283-4,10,,,,,
q.4_2_285_285-13,10,,,,,
q.4_2_31_31-135,10,,,,,
q.4_2_31_31-136,10,,,,,
q.4_2_31_31-137,10,,,,,
q.4_2_31_31-172,10,,,,,
q.4_2_34_34-103,10,,,,,
q.4_24_22_22-4,10,,,,,
q.4_24_32_32-2,10,,,,,
q.4_2_43_43-2,10,,,,,
q.4_2_43_43-4,10,,,,,
q.4_24_35_35-49,10,,,,,
q.4_24_58_60-23,10,,,,,
q.4_24_62_64-31,10,,,,,
q.4_25_21_24-44,10,,,,,
q.4_26_15_17-8,10,,,,,
q.4_2_63_64-6,10,,,,,
q.4_2_74_74-35,10,,,,,
q.4_3_113_115-10,10,,,,,
q.4_3_144_144-4,10,,,,,
q.4_32_4_4-11,10,,,,,
q.4_3_26_27-11,10,,,,,
q.4_3_28_28-15,10,,,,,
q.4_3_49_49-26,10,,,,,
q.4_38_12_20-2,10,,,,,
q.4_39_53_59-35,10,,,,,
