"label","avg_token_count"
"Shiʿa, undefined","2869452.000000000000"
"Athariyya","2236359.250000000000"
"Maturidiyya","1167141.400000000000"
"Ibadi","975046.500000000000"
"Twelver Shiʿa","922342.714285714286"
"Ashʿariyya","872447.933333333333"
"Tasawwuf","771905.200000000000"
"Sunni, undefined","748808.384615384615"
"Muʿtazila","558988.500000000000"
"Zaydiyya","118617.333333333333"
