"sura_id","aya_id","count"
11,74,"71"
17,16,"71"
31,6,"71"
8,48,"71"
40,4,"70"
2,13,"70"
70,4,"70"
13,7,"70"
4,47,"70"
4,123,"70"
55,20,"70"
92,6,"70"
9,37,"70"
6,14,"70"
9,114,"70"
39,9,"70"
6,108,"70"
69,1,"70"
39,56,"70"
2,233,"70"
11,27,"70"
12,12,"70"
9,81,"70"
4,129,"70"
3,40,"70"
79,16,"70"
66,8,"70"
49,11,"70"
17,81,"70"
12,20,"70"
4,65,"70"
3,13,"70"
7,175,"70"
18,6,"70"
6,19,"70"
2,104,"70"
2,42,"70"
6,112,"70"
49,6,"70"
17,35,"70"
2,66,"70"
18,31,"70"
98,1,"70"
2,216,"70"
36,52,"70"
26,219,"70"
16,16,"70"
17,7,"70"
12,86,"70"
106,1,"70"
2,21,"70"
39,45,"70"
51,7,"70"
12,23,"70"
3,179,"70"
23,12,"70"
6,38,"70"
2,253,"70"
52,1,"70"
14,26,"70"
2,237,"70"
16,97,"70"
8,61,"70"
41,22,"70"
7,58,"70"
52,4,"70"
87,14,"70"
6,70,"70"
3,64,"70"
18,79,"70"
17,25,"70"
90,11,"70"
27,88,"70"
4,88,"70"
7,11,"70"
2,258,"70"
36,9,"70"
8,42,"70"
3,186,"70"
11,15,"70"
78,38,"70"
86,11,"70"
103,2,"70"
7,150,"70"
7,31,"70"
43,28,"70"
37,103,"70"
15,26,"70"
6,61,"70"
28,29,"70"
22,31,"70"
22,19,"70"
5,103,"70"
19,85,"70"
6,71,"70"
18,110,"70"
11,113,"70"
56,30,"70"
59,23,"70"
11,83,"70"
5,32,"70"
47,15,"70"
90,2,"70"
3,159,"70"
39,8,"70"
19,7,"70"
99,6,"70"
2,50,"70"
103,1,"70"
94,7,"70"
20,1,"70"
6,65,"70"
3,83,"70"
9,102,"70"
95,1,"70"
39,53,"70"
43,57,"70"
27,10,"70"
8,19,"70"
38,44,"70"
9,128,"70"
5,55,"70"
49,3,"70"
42,11,"70"
22,5,"70"
2,225,"70"
15,22,"70"
2,212,"70"
7,182,"70"
3,144,"70"
55,19,"70"
4,101,"70"
22,26,"70"
2,88,"70"
2,234,"70"
51,56,"70"
4,40,"70"
31,34,"70"
108,2,"70"
2,115,"70"
2,179,"70"
17,3,"70"
8,41,"70"
4,22,"70"
2,280,"70"
10,25,"70"
36,78,"70"
110,1,"70"
11,3,"70"
35,10,"70"
22,2,"70"
11,7,"70"
19,46,"70"
18,21,"70"
73,8,"70"
23,14,"70"
67,15,"70"
24,63,"70"
2,178,"70"
43,71,"70"
44,24,"70"
16,120,"70"
32,21,"70"
21,78,"70"
6,60,"70"
12,42,"70"
9,118,"70"
31,20,"70"
16,68,"70"
23,71,"70"
20,82,"70"
12,80,"70"
66,4,"70"
23,2,"70"
7,17,"70"
2,72,"70"
36,68,"70"
23,53,"70"
20,114,"70"
21,37,"70"
2,85,"70"
97,4,"70"
6,28,"70"
53,3,"70"
12,36,"70"
