"label","avg_token_count"
"Athariyya","2236359.250000000000"
"Maturidiyya","1167141.400000000000"
"Tasawwuf","1121496.333333333333"
"Ibadi","975046.500000000000"
"Twelver Shiʿa","922342.714285714286"
"Sunni, undefined","748808.384615384615"
"Ashʿariyya","729804.785714285714"
"Muʿtazila","558988.500000000000"
"Zaydiyya","118617.333333333333"
