quote_id,count,,,
q.36_21_70_70-3,56,,,
q.36_34_39_39-14,56,,,
q.36_39_56_56-6,56,,,
q.36_50_45_45-8,56,,,
q.36_5_32_32-17,56,,,
q.36_5_88_88-13,56,,,
q.36_15_95_96-6,55,,,
q.36_21_8_8-6,55,,,
q.36_23_101_101-9,55,,,
q.36_25_10_10-15,55,,,
q.36_29_48_49-28,55,,,
q.36_32_27_27-10,55,,,
q.36_36_12_12-25,55,,,
q.36_39_7_7-19,55,,,
q.36_39_8_8-4,55,,,
q.36_4_19_19-9,55,,,
q.36_57_27_27-27,55,,,
q.36_8_5_6-15,55,,,
q.36_11_95_95-5,54,,,
q.36_17_1_1-7,54,,,
q.36_21_44_44-8,54,,,
q.36_27_62_62-3,54,,,
q.36_4_171_171-18,54,,,
q.36_4_36_36-17,54,,,
q.36_5_71_71-11,54,,,
q.36_7_84_84-6,54,,,
q.36_8_54_54-7,54,,,
q.36_19_98_98-7,53,,,
q.36_2_54_54-20,53,,,
q.36_25_71_71-8,53,,,
q.36_34_13_13-19,53,,,
q.36_5_43_43-7,53,,,
q.36_7_49_49-6,53,,,
q.36_9_128_128-25,53,,,
q.36_9_66_66-15,53,,,
q.36_11_1_1-5,52,,,
q.36_11_60_60-8,52,,,
q.36_12_26_26-4,52,,,
q.36_13_19_19-5,52,,,
q.36_14_12_12-11,52,,,
q.36_20_122_122-6,52,,,
q.36_21_77_77-10,52,,,
q.36_29_69_69-19,52,,,
q.36_30_15_15-5,52,,,
q.36_34_12_12-7,52,,,
q.36_41_34_34-6,52,,,
q.36_49_6_6-12,52,,,
q.36_5_67_67-9,52,,,
q.36_5_81_81-14,52,,,
q.36_6_2_2-5,52,,,
q.36_8_17_17-8,52,,,
q.36_10_82_82-4,51,,,
q.36_17_1_1-135,51,,,
q.36_17_1_1-83,51,,,
q.36_2_169_169-12,51,,,
q.36_2_26_26-6,51,,,
q.36_23_51_51-6,51,,,
q.36_2_53_53-4,51,,,
q.36_4_100_100-12,51,,,
q.36_4_86_86-19,51,,,
q.36_7_155_157-49,51,,,
q.36_80_37_37-2,51,,,
q.36_11_88_88-19,50,,,
q.36_12_35_35-16,50,,,
q.36_19_98_98-6,50,,,
q.36_2_179_179-6,50,,,
q.36_2_247_247-17,50,,,
q.36_2_265_265-5,50,,,
q.36_22_66_66-8,50,,,
q.36_23_14_14-16,50,,,
q.36_2_37_37-10,50,,,
q.36_34_19_19-12,50,,,
q.36_4_15_16-21,50,,,
q.36_5_81_81-13,50,,,
q.36_5_93_93-11,50,,,
q.36_7_201_202-10,50,,,
q.36_17_29_29-8,49,,,
q.36_25_58_58-3,49,,,
q.36_2_5_5-9,49,,,
q.36_33_40_40-2,49,,,
q.36_39_29_29-11,49,,,
q.36_5_115_115-9,49,,,
q.36_53_32_32-21,49,,,
q.36_57_7_7-3,49,,,
q.36_6_133_133-3,49,,,
q.36_12_42_42-9,48,,,
q.36_18_84_84-3,48,,,
q.36_2_177_177-37,48,,,
q.36_2_255_255-39,48,,,
q.36_33_56_56-21,48,,,
q.36_4_148_149-13,48,,,
q.36_7_1_1-5,48,,,
q.36_7_199_200-24,48,,,
q.36_79_24_24-3,48,,,
q.36_11_47_47-10,47,,,
q.36_12_23_23-10,47,,,
q.36_16_115_115-4,47,,,
q.36_16_119_119-9,47,,,
q.36_18_46_46-2,47,,,
q.36_2_219_220-19,47,,,
q.36_73_4_4-5,47,,,
q.36_10_23_23-15,46,,,
q.36_12_23_23-4,46,,,
q.36_12_55_55-6,46,,,
q.36_17_1_1-70,46,,,
q.36_21_32_32-7,46,,,
q.36_33_46_46-7,46,,,
q.36_33_56_56-92,46,,,
q.36_33_69_69-11,46,,,
q.36_38_76_76-3,46,,,
q.36_4_77_77-20,46,,,
q.36_5_17_17-14,46,,,
q.36_53_30_30-7,46,,,
q.36_6_39_39-14,46,,,
q.36_7_121_126-14,46,,,
q.36_9_55_55-12,46,,,
q.36_11_37_37-5,45,,,
q.36_12_101_101-20,45,,,
q.36_12_45_45-7,45,,,
q.36_13_42_42-4,45,,,
q.36_21_28_29-6,45,,,
q.36_2_138_138-8,45,,,
q.36_2_187_187-43,45,,,
q.36_31_11_11-7,45,,,
q.36_36_69_69-12,45,,,
q.36_4_112_112-14,45,,,
q.36_4_22_22-17,45,,,
q.36_7_167_167-9,45,,,
q.36_7_198_198-12,45,,,
q.36_8_27_28-8,45,,,
q.36_10_92_92-9,44,,,
q.36_114_6_6-7,44,,,
q.36_12_35_35-11,44,,,
q.36_16_37_37-5,44,,,
q.36_17_79_79-10,44,,,
q.36_17_8_8-7,44,,,
q.36_2_104_104-8,44,,,
q.36_36_36_36-8,44,,,
q.36_39_29_29-12,44,,,
q.36_4_40_40-9,44,,,
q.36_56_62_62-6,44,,,
q.36_11_44_44-15,43,,,
q.36_12_55_55-12,43,,,
q.36_16_110_110-10,43,,,
q.36_2_128_128-6,43,,,
q.36_23_114_114-6,43,,,
q.36_33_69_69-10,43,,,
q.36_4_35_35-23,43,,,
q.36_49_13_13-2,43,,,
q.36_50_16_16-10,43,,,
q.36_50_19_19-14,43,,,
q.36_5_109_109-10,43,,,
q.36_6_129_129-7,43,,,
q.36_6_164_164-15,43,,,
q.36_78_40_40-10,43,,,
q.36_8_25_25-13,43,,,
q.36_9_8_8-10,43,,,
q.36_10_10_10-12,42,,,
q.36_12_51_51-6,42,,,
q.36_17_1_1-30,42,,,
q.36_2_212_212-8,42,,,
q.36_23_101_101-10,42,,,
q.36_2_3_3-43,42,,,
q.36_27_35_36-18,42,,,
q.36_2_82_82-4,42,,,
q.36_3_134_134-14,42,,,
q.36_3_155_155-9,42,,,
q.36_33_21_21-5,42,,,
q.36_40_52_52-6,42,,,
q.36_40_61_61-10,42,,,
q.36_42_12_12-6,42,,,
q.36_5_86_86-3,42,,,
q.36_7_12_12-10,42,,,
q.36_7_171_171-14,42,,,
q.36_7_27_27-8,42,,,
q.36_9_66_66-10,42,,,
q.36_10_3_3-5,41,,,
q.36_11_108_108-11,41,,,
q.36_12_29_29-8,41,,,
q.36_12_54_54-12,41,,,
q.36_13_26_26-5,41,,,
q.36_16_109_109-3,41,,,
q.36_2_106_106-14,41,,,
q.36_2_16_16-5,41,,,
q.36_22_26_26-2,41,,,
q.36_22_29_29-7,41,,,
q.36_2_233_233-35,41,,,
q.36_2_43_43-8,41,,,
q.36_27_88_89-5,41,,,
q.36_32_16_17-12,41,,,
q.36_56_62_62-5,41,,,
q.36_75_28_28-4,41,,,
q.36_7_54_54-5,41,,,
q.36_9_52_52-15,41,,,
q.36_12_10_10-9,40,,,
q.36_12_15_15-7,40,,,
q.36_18_31_31-18,40,,,
q.36_2_102_102-13,40,,,
q.36_2_110_110-9,40,,,
q.36_25_43_43-7,40,,,
q.36_33_50_50-25,40,,,
q.36_35_7_7-10,40,,,
q.36_4_17_17-16,40,,,
q.36_4_30_30-12,40,,,
q.36_4_43_43-14,40,,,
q.36_4_68_68-6,40,,,
q.36_5_120_120-6,40,,,
q.36_5_18_18-12,40,,,
q.36_54_55_55-5,40,,,
q.36_5_64_64-11,40,,,
q.36_70_21_21-4,40,,,
q.36_95_5_5-3,40,,,
q.36_96_1_1-3,40,,,
q.36_12_100_100-32,39,,,
q.36_12_30_31-25,39,,,
q.36_19_4_6-6,39,,,
q.36_2_258_258-22,39,,,
q.36_27_66_66-5,39,,,
q.36_30_29_29-8,39,,,
q.36_35_31_31-9,39,,,
q.36_3_64_64-19,39,,,
q.36_36_62_62-8,39,,,
q.36_39_53_53-30,39,,,
q.36_40_64_64-10,39,,,
q.36_4_10_10-9,39,,,
q.36_4_123_124-18,39,,,
q.36_5_64_64-21,39,,,
q.36_59_17_17-6,39,,,
q.36_6_32_32-10,39,,,
q.36_8_37_37-9,39,,,
q.36_10_23_23-20,38,,,
q.36_10_89_89-7,38,,,
q.36_21_84_84-4,38,,,
q.36_24_5_5-8,38,,,
q.36_30_23_23-11,38,,,
q.36_3_199_199-16,38,,,
q.36_3_94_95-9,38,,,
q.36_64_3_3-3,38,,,
q.36_6_86_86-2,38,,,
q.36_7_181_181-12,38,,,
q.36_11_63_63-14,37,,,
q.36_12_32_32-7,37,,,
q.36_18_77_77-12,37,,,
q.36_19_33_33-10,37,,,
q.36_20_131_131-25,37,,,
q.36_2_210_210-12,37,,,
q.36_2_245_245-16,37,,,
q.36_24_26_26-15,37,,,
q.36_31_34_34-8,37,,,
q.36_33_31_31-12,37,,,
q.36_33_4_4-3,37,,,
