,author_name,quote_count,token_count,rel_quotes_per_1k_tokens,school_of_theology
34,Muḥammad aṭ-Ṭāhir ibn ʿAšūr,26451,1296213,20.406368397786476,Ashʿariyya
6,Abū Bakr Ǧābir ibn Mūsā ibn ʿAbd al-Qādir al-Ǧazāʾirī,12920,645964,20.00111461319826,"Sunni, undefined"
46,Muḥammad Ḥusayn aṭ-Ṭabāṭabāʾī,42590,2277976,18.696421735786505,Twelver Shiʿa
20,Hūd ibn Muḥakkam al-Huwwarī,1896,106047,17.878865031542617,Ibadi
58,Šihāb ad-Dīn Aḥmad ibn Yūsuf ibn ʿAbd ad-Dāʾim al-Ḥalabī as-Samīn,20454,1173789,17.42561908486108,"Sunni, undefined"
9,Abū Ḥafṣ ʿUmar ibn ʿAlī ibn ʿĀdil al-Dimašqī Nuʿmānī,46174,2820624,16.370136537163408,"Sunni, undefined"
30,Muḥammad Mutawallī aš-Šaʿrāwī,44534,2911812,15.294256634700318,"Sunni, undefined"
37,Muḥammad ibn Muḥammad ibn ʿArafa,1470,98824,14.874929167003966,Ashʿariyya
19,Faḫr ad-Dīn ar-Rāzī,5442,407626,13.350473227909898,Ashʿariyya
21,Ibrāhīm al-Qaṭṭān,4896,385548,12.69880793053005,"Sunni, undefined"
16,Aḥmad ibn Ḥamad al-Ḫalīlī,2576,244890,10.519008534444035,Ibadi
53,Ṣadr ad-Dīn Muḥammad aš-Šīrāzī,5911,601338,9.829746332345536,Twelver Shiʿa
31,Muḥammad Rašīd Riḍā,17762,1876028,9.467875745990998,Ashʿariyya
24,Laǧnat al-Qurʾān wa-s-Sunna fī Maǧlis al-Aʿlā li-š-Šuʾūn al-Islāmiyya,4,180844,0.022118510981840703,"Sunni, undefined"
