"sura_id","avg_tokens_sura"
1,"1913.3986254295532646"
2,"796.8318730368655976"
5,"721.5992366412213740"
112,"721.4827586206896552"
110,"693.4600000000000000"
24,"629.4015556635877491"
4,"623.2986132511556240"
62,"615.1500000000000000"
65,"605.2712328767123288"
97,"595.3260869565217391"
49,"564.9350453172205438"
3,"560.3157738536874907"
33,"551.8488909426987061"
105,"538.1472868217054264"
108,"537.8468468468468468"
60,"528.1559020044543430"
9,"524.7675076120052197"
59,"520.5325615050651230"
48,"506.4061810154525386"
6,"498.4490037149611618"
66,"497.0443349753694581"
8,"495.3408913213448006"
17,"491.4548883086742095"
58,"479.0264797507788162"
7,"476.3610803980413837"
13,"461.1161904761904762"
57,"459.8674157303370787"
22,"450.1137038608400509"
18,"449.1060955518945634"
12,"440.9728373191614999"
113,"416.3071428571428571"
114,"408.3255813953488372"
63,"407.9356913183279743"
73,"407.8814655172413793"
11,"407.3359824609482050"
14,"402.6409608091024020"
46,"402.5040816326530612"
106,"396.0275229357798165"
98,"394.9690721649484536"
10,"394.0383265067290813"
42,"392.2018093249826026"
31,"391.5955414012738854"
111,"390.3169014084507042"
34,"388.1513761467889908"
93,"378.2379032258064516"
47,"374.4761467889908257"
35,"374.3562197092084006"
16,"374.1858503401360544"
39,"374.0184331797235023"
38,"366.2834310069259457"
20,"365.9908196721311475"
76,"365.6671826625386997"
102,"364.2073170731707317"
72,"361.2500000000000000"
41,"359.5303672316384181"
25,"357.9886307464162135"
19,"355.3592985318107667"
27,"354.8143712574850299"
28,"352.8886902101028163"
21,"351.0186948853615520"
36,"350.1268695203713254"
61,"348.0673854447439353"
109,"347.6923076923076923"
32,"345.6936274509803922"
94,"343.8983050847457627"
99,"340.3988764044943820"
89,"333.1718146718146718"
30,"330.0736910148674855"
53,"326.3106557377049180"
40,"325.4966442953020134"
85,"322.4350132625994695"
95,"320.7540983606557377"
96,"310.4582043343653251"
15,"308.7254220456802383"
29,"306.5619645916619075"
68,"302.1659242761692650"
107,"299.4149659863945578"
50,"298.6592592592592593"
64,"297.4541284403669725"
87,"295.0876712328767123"
67,"291.2917847025495751"
45,"286.5841924398625430"
74,"283.1093394077448747"
100,"281.4911504424778761"
103,"281.0594059405940594"
43,"278.1706089582284852"
75,"271.8471428571428571"
56,"270.1254980079681275"
54,"267.6695821185617104"
55,"266.5137987012987013"
71,"265.2201138519924099"
78,"264.0029197080291971"
81,"261.2464358452138493"
23,"261.2227506936187079"
91,"259.8113879003558719"
83,"258.4822695035460993"
44,"251.6904761904761905"
70,"249.6446043165467626"
51,"249.5638389031705227"
37,"249.2042583904727535"
86,"246.9842767295597484"
90,"246.4137055837563452"
52,"241.0386680988184748"
92,"237.3489736070381232"
79,"231.9060402684563758"
69,"227.5684931506849315"
84,"224.0258215962441315"
26,"219.6319851806112998"
80,"210.4173486088379705"
82,"204.5498489425981873"
104,"201.1032608695652174"
88,"198.8173719376391982"
77,"176.3161465400271370"
101,"168.7165775401069519"
